BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
3.3,10.8,803.0,13.6,0.325,8.4,18.375,0.425,4.0,50.10104735539413
2.9,6.2,447.0,16.8,0.355,3.2,7.332,0.408,3.0,58.67819064191809
1.2,1.7,557.0,15.6,0.034,1.2,11.376,0.038,1.0,33.17379343442609
4.1,4.9,752.0,17.3,0.077,4.4,15.216,0.154,2.0,37.8784053517952
1.4,2.9,235.0,19.2,0.014,2.4,2.8,0.029,0.0,40.34379989323088
3.3,9.3,494.0,12.5,0.25,4.4,14.928,0.408,6.0,44.90901337268226
3.4,6.3,516.0,13.7,0.082,9.2,11.64,0.221,3.0,37.39977384129307
6.3,18.8,557.0,9.5,1.896,8.0,16.8,2.256,8.0,37.8784053517952
1.4,2.9,230.0,18.4,0.077,4.8,2.792,0.029,2.0,40.34379989323088
3.6,7.3,608.0,16.2,0.259,11.6,10.248,0.389,3.0,40.70056648254716
3.5,5.6,299.0,15.0,0.216,6.5,5.722,0.261,1.3,63.218603363033566
1.2,4.5,363.0,12.0,0.197,3.6,5.136,0.254,1.0,50.23451880206132
1.9,3.6,195.0,16.6,0.025,13.4,2.713,0.058,4.0,64.06335905977532
12.2,9.5,642.0,13.3,1.038,4.8,17.262,1.13,5.0,34.577612710541096
4.1,8.5,677.0,13.3,0.33,4.2,16.988,0.352,2.0,28.4109617616076
2.7,6.0,541.0,15.4,0.643,3.6,8.148,0.696,0.0,32.3885744721487
2.9,4.2,329.0,17.0,0.233,10.1,6.176,0.256,1.5,66.58971888607286
1.4,1.8,347.0,9.7,0.019,1.2,4.08,0.014,18.0,29.566413341396725
1.5,5.2,237.0,13.7,0.049,7.8,2.574,0.064,18.5,65.86271967924483
1.6,4.7,300.0,10.9,0.21,8.2,4.041,0.22,19.2,61.77670807571335
2.4,4.1,441.0,11.2,0.125,2.4,4.584,0.125,15.0,40.70056648254716
1.8,3.0,155.0,9.1,0.01,2.2,1.968,0.034,19.0,46.582849694754046
2.1,4.2,168.0,11.2,0.02,6.4,2.163,0.034,17.4,64.96001428279916
1.9,5.1,264.0,14.1,0.123,7.4,3.191,0.135,18.8,66.31050210772136
2.2,5.3,250.0,10.2,0.227,8.5,4.163,0.25,17.3,65.61711575248225
2.1,3.1,458.0,7.9,0.091,4.2,4.128,0.12,16.0,33.9007926412541
2.2,3.5,430.0,9.3,0.048,7.4,5.664,0.091,18.0,42.31237941571459
1.2,1.9,162.0,9.5,0.01,2.4,1.8,0.01,18.0,42.01050944419373
3.2,5.5,298.0,6.0,0.307,3.2,5.832,0.293,15.0,43.16596102398285
3.7,5.2,350.0,9.5,0.072,8.8,3.372,0.086,16.0,41.04481232989572
3.8,6.0,405.0,8.9,0.389,6.6,6.564,0.413,16.0,44.90901337268226
4.8,8.6,370.0,7.1,1.277,10.2,10.992,1.306,19.0,39.18834831344176
2.8,4.8,305.0,9.6,0.134,6.0,5.424,0.192,15.0,45.35499926237525
2.9,8.6,634.0,7.8,0.387,14.6,11.709,0.446,19.5,55.21916876393183
2.2,6.8,579.0,8.5,0.557,14.8,10.273,0.576,15.6,45.988122154734825
1.0,3.6,176.0,16.0,0.008,7.2,1.787,0.01,17.8,63.00455850809215
1.6,4.9,286.0,9.8,0.167,8.0,3.954,0.182,18.0,59.78994504477979
3.3,6.2,325.0,10.0,1.013,6.4,7.392,1.008,15.0,39.97356727571915
2.3,2.8,170.0,7.7,0.01,5.2,2.248,0.034,16.0,41.04481232989572
1.0,4.0,202.0,15.7,0.049,7.8,1.948,0.053,17.8,65.86271967924483
2.4,4.1,441.0,11.2,0.125,2.4,4.584,0.125,15.0,40.70056648254716
2.7,4.8,198.0,6.1,0.058,12.6,2.664,0.072,14.0,41.6990547137277
4.5,9.0,548.0,13.8,0.952,7.6,8.711,0.97,17.8,48.498828555020765
3.1,4.8,353.0,9.4,7.464,4.2,7.608,0.149,9.0,35.80546314291989
1.6,2.5,167.0,11.5,1.976,1.8,2.016,0.019,14.0,36.8965866233512
1.5,3.8,188.0,11.7,0.026,3.8,2.372,0.04,12.3,59.008896114446166
2.9,7.5,718.0,9.0,0.39,12.2,11.382,0.393,12.2,44.678179193088255
2.3,5.1,391.0,10.9,7.848,2.8,7.944,0.638,14.0,23.800226158706938
0.7,3.3,200.0,11.5,0.016,4.6,1.78,0.019,14.4,58.50856105526839
1.2,2.0,398.0,14.0,8.016,3.2,8.04,0.058,6.0,33.17379343442609
3.0,6.1,286.0,8.2,7.644,4.0,7.716,0.538,10.0,46.582849694754046
7.6,11.3,635.0,9.7,0.363,57.7,11.257,0.464,14.7,49.54822504782753
2.4,5.0,301.0,10.6,0.247,6.4,5.019,0.286,13.2,61.65331022226405
1.3,4.7,279.0,10.4,0.143,9.1,3.217,0.147,16.0,65.96993386116563
3.7,6.6,409.0,11.9,8.328,17.2,8.472,0.307,13.0,56.48915240352569
1.9,3.4,169.0,10.0,2.208,5.2,2.28,0.029,10.0,37.8784053517952
2.3,4.2,388.0,10.9,5.472,3.4,5.568,0.302,12.0,33.17379343442609
1.3,2.7,160.0,10.6,2.272,1.6,2.368,0.019,11.0,29.566413341396725
1.4,2.4,348.0,13.7,3.0,3.8,3.06,0.019,14.0,38.33476670517349
5.0,8.5,660.0,11.8,0.828,4.4,7.689,0.838,13.0,43.69636046464426
1.2,4.1,256.0,11.1,0.055,7.1,2.717,0.07,15.6,63.56528254786205
1.2,3.6,215.0,11.8,0.034,5.0,1.973,0.041,14.9,63.218603363033566
3.3,8.7,461.0,7.2,13.128,7.4,13.2,1.056,17.0,38.770838495993374
1.7,4.9,324.0,9.9,0.159,9.7,4.007,0.171,14.2,64.53736430280195
1.1,4.0,270.0,10.7,0.089,6.6,3.214,0.098,15.8,60.96761633961757
1.4,2.0,407.0,13.6,3.492,0.8,3.792,0.058,12.0,36.36618718268979
2.1,3.9,432.0,11.1,7.872,7.6,7.944,0.048,13.0,49.11215325700765
1.2,2.2,170.0,10.2,2.232,2.8,2.264,0.019,15.0,33.9007926412541
2.7,3.6,340.0,13.1,0.019,4.2,3.24,0.11,7.0,29.566413341396725
1.9,2.2,150.0,12.5,0.024,0.6,2.782,0.024,7.0,39.18834831344176
3.7,9.1,431.0,12.1,0.983,5.2,9.157,0.996,10.1,43.95117998626024
0.5,3.1,177.0,11.4,0.035,3.4,2.535,0.037,6.5,48.65579190362935
